control_number,announcement_number,position_title,hiring_agency_name,hiring_department_name,job_series,minimum_grade,maximum_grade,position_open_date,position_close_date,minimum_salary,maximum_salary,work_schedule,telework_eligible,supervisory_status
792556800,24-DO-586-P,Senior Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,60,60,2024-05-22,2024-06-05,154057.0,243172.0,Full-time,N,N
792060900,24-BPA-39920-12421698-MP,Management and Program Analyst (System Product Owner),Bonneville Power Administration,Department of Energy,0343,13,13,2024-05-20,2024-05-30,111234.0,144608.0,Full-time,N,N
792069000,24-BPA-39920-12421699-DE,Management and Program Analyst (System Product Owner),Bonneville Power Administration,Department of Energy,0343,13,13,2024-05-20,2024-05-30,111234.0,144608.0,Full-time,N,N
791811700,req345,Senior Product Owner #5481,Senate,Legislative Branch,2210,00,00,2024-05-16,2024-05-30,99518.0,168496.0,Full-time,N,N
791993500,FSA/EN1-2024-0002,"Multiple Digital Service Openings: Senior Engineer, Senior Product Manager, Senior Service Designer",Federal Student Aid,Department of Education,2210,15,15,2024-05-16,2024-05-28,143736.0,191900.0,Full-time,N,N
790866700,MCAD240364713332,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-05-13,2024-05-27,127073.0,191900.0,Full-time,N,Y
790981800,MCAD240372214402,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-05-13,2024-05-20,139395.0,191900.0,Full-time,N,Y
790996500,MCAD240368814279HW,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-05-13,2024-05-17,139395.0,191900.0,Full-time,N,Y
790041500,QM-2024-0068,Product Owner,Federal Acquisition Service,General Services Administration,0301,13,13,2024-05-07,2024-05-17,103409.0,167336.0,Full-time,N,N
790047900,MCAD240214517891,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-05-06,2024-05-20,127073.0,191900.0,Full-time,N,Y
789691700,MCAD240234357398,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-05-03,2024-05-08,139395.0,191900.0,Full-time,N,Y
788281000,NEAD249870494290,PROGRAM MANAGER (PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-04-25,2024-05-06,139395.0,191900.0,Full-time,N,Y
788503500,MCAD249993236577HQ,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-04-25,2024-05-06,139395.0,191900.0,Full-time,N,Y
786852200,MCAD249730806538,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-04-16,2024-04-26,139395.0,191900.0,Full-time,N,Y
786936800,MCAD249730808453,Program Manager (Deputy Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-04-16,2024-04-26,139395.0,191900.0,Full-time,N,Y
786488000,24-BPA-39562-12382709-DE,Public Utilities Specialist (Settlements Product Owner),Bonneville Power Administration,Department of Energy,1130,13,13,2024-04-12,2024-04-26,111234.0,144608.0,Full-time,N,N
786488600,24-BPA-39562-12382710-MP,Public Utilities Specialist (Settlements Product Owner),Bonneville Power Administration,Department of Energy,1130,13,13,2024-04-12,2024-04-26,111234.0,144608.0,Full-time,N,N
785347700,24-DO-489,Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,51,53,2024-04-09,2024-04-15,101297.0,188593.0,Full-time,N,N
785348800,24-DO-490-P,Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,51,53,2024-04-09,2024-04-15,101297.0,188593.0,Full-time,N,N
784445100,24-12362111K-ECN-0301-14,Product Owner - Temporary NTE 1 Year/MBE Up To 5 Yrs/MBMP (6 Month Roster),Internal Revenue Service,Department of the Treasury,0301,14,14,2024-04-01,2024-04-12,122198.0,191900.0,Full-time,N,N
783976100,MCAD249441359172HW,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-03-29,2024-04-05,139395.0,191900.0,Full-time,N,Y
783975700,MCAD249369476845HW,ASSISTANT PRODUCT MANAGER,U.S. Army Acquisition Support Center,Department of the Army,0301,3,3,2024-03-28,2024-04-11,90431.0,139798.0,Full-time,N,N
782997900,SH12362996-DHA,IT Specialist/IT Product Manager (Direct Hire Authority),Social Security Administration,Other Agencies and Independent Organizations,2210,13,15,2024-03-22,2024-03-26,103409.0,191900.0,Full-time,N,N
782845100,24-DO-416,Supervisory Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,60,60,2024-03-21,2024-04-04,154057.0,243172.0,Full-time,N,Y
781994900,SH12319099-DHA,IT Specialist/IT Product Manager (Direct Hire Authority),Social Security Administration,Other Agencies and Independent Organizations,2210,13,15,2024-03-18,2024-03-22,103409.0,191900.0,Full-time,N,N
782839200,MCAD249197423409HQ,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-03-18,2024-04-01,127073.0,191900.0,Full-time,N,N
781087700,24-DO-165,IT Specialist (Sysanalysis)(Senior Product Manager),"Treasury, Departmental Offices",Department of the Treasury,2210,15,15,2024-03-12,2024-03-18,143736.0,191900.0,Full-time,N,N
781091400,24-DO-414-P,IT Specialist (Sysanalysis)(Senior Product Manager),"Treasury, Departmental Offices",Department of the Treasury,2210,15,15,2024-03-12,2024-03-18,143736.0,191900.0,Full-time,N,N
781091800,24-DO-166-P,IT Specialist (Sysanalysis)(Senior Product Manager),"Treasury, Departmental Offices",Department of the Treasury,2210,15,15,2024-03-12,2024-03-18,143736.0,191900.0,Full-time,N,N
781092800,MCGK248157520044,Automatic Identification Technology Product Management Specialist,U.S. Army Sustainment Command,Department of the Army,0301,13,13,2024-03-12,2024-03-21,121485.0,157934.0,Full-time,N,N
781111100,DCSA-24-12348732-P,MANAGEMENT ANALYST (PROJECT MANAGER/ PRODUCT OWNER (PO)),Defense Counterintelligence and Security Agency,Department of Defense,0343,13,13,2024-03-12,2024-03-22,117962.0,153354.0,Full-time,N,N
779122400,MCAD248895095512HQ,ASSISTANT PRODUCT MANAGER,U.S. Army Acquisition Support Center,Department of the Army,0301,3,3,2024-03-01,2024-03-14,90431.0,139798.0,Full-time,N,N
778576300,24-DAS-12332196,Information Technology Specialist (Product Manager),Administrative Office of the U.S. Courts,Judicial Branch,2210,00,00,2024-02-28,2024-03-13,99200.0,185930.0,Full-time,N,N
779019900,MCAD248774582991HQ,ASSISTANT PRODUCT MANAGER,U.S. Army Acquisition Support Center,Department of the Army,0301,3,3,2024-02-28,2024-03-13,90431.0,139798.0,Full-time,N,N
778265700,24-CFPB-100-MPA,IT Specialist (Technical Product Manager),Consumer Financial Protection Bureau,Other Agencies and Independent Organizations,2210,53,53,2024-02-26,2024-03-04,128117.0,182344.0,Full-time,N,N
777415900,24-DAS-12324681,Information Technology Specialist (Product Manager),Administrative Office of the U.S. Courts,Judicial Branch,2210,00,00,2024-02-23,2024-03-08,117962.0,191900.0,Full-time,N,N
777868900,Q-2024-0021,Senior Strategist for Organizational Productivity,Federal Acquisition Service,General Services Administration,0301,00,00,2024-02-23,2024-03-08,147649.0,221900.0,Full-time,N,N
778048900,MCAD248807478248,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-02-23,2024-02-29,134751.0,191900.0,Full-time,N,Y
778067900,ST-12328314-24-AJR,LEAD SOFTWARE PRODUCT OWNER,Naval Sea Systems Command,Department of the Navy,0301,13,13,2024-02-23,2024-03-04,115793.0,150535.0,Full-time,N,N
777316300,NEAD245107232492,Acquisition Key Billet Product Manager or Acquisition Director,U.S. Army Acquisition Support Center,Department of the Army,0340,14,14,2024-02-19,2024-04-19,104604.0,135987.0,Full-time,N,Y
777218800,MCAD248559882743,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-02-16,2024-03-04,127073.0,191900.0,Full-time,N,Y
776468200,MCAD248331838840HW,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-02-14,2024-02-21,139395.0,191900.0,Full-time,N,Y
774086500,24-BEP-127-P,Program Manager (Currency Product Manager),Bureau of Engraving and Printing,Department of the Treasury,0340,14,14,2024-02-02,2024-02-15,132753.0,181216.0,Full-time,N,N
774086900,24-BEP-115,Program Manager (Currency Product Manager),Bureau of Engraving and Printing,Department of the Treasury,0340,14,14,2024-02-02,2024-02-15,132753.0,181216.0,Full-time,N,N
773749500,CMS-OEDA-24-12297248-IT,IT Specialist (System Analysis) (Product Manager),Centers for Medicare & Medicaid Services,Department of Health and Human Services,2210,13,13,2024-01-31,2024-02-06,88520.0,115079.0,Full-time,N,N
772987300,ST-12284116-24-SRC,LEAD SOFTWARE PRODUCT OWNER,Naval Sea Systems Command,Department of the Navy,0301,13,13,2024-01-29,2024-02-08,115793.0,150535.0,Full-time,N,N
773087800,MCAD248205330068,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-01-29,2024-02-05,139395.0,191900.0,Full-time,N,Y
772840400,MCAD248271431505,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-01-25,2024-02-09,127073.0,165197.0,Full-time,N,Y
772496500,MCAD248209628493HW,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-01-24,2024-01-29,139395.0,191900.0,Full-time,N,Y
770590900,MCAD249160626998HQ,Program Manager (Product Lead Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-01-19,2024-01-29,139395.0,191900.0,Full-time,N,Y
771532900,MCAD247920425324,PROGRAM MANAGER (DEPUTY PRODUCT LEAD/ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-01-19,2024-01-25,139395.0,191900.0,Full-time,N,Y
769083900,230118DE-12237345-JG,Product Owner,Railroad Retirement Board,Other Agencies and Independent Organizations,2210,14,14,2024-01-08,2024-01-29,136414.0,177341.0,Full-time,N,N
769331300,20240126,Product Manager,National Geospatial-Intelligence Agency,Department of Defense,2210,04,04,2024-01-08,2024-01-20,100694.0,172075.0,Full-time,N,N
768823200,MCAD247772572609HW,Program Manager (Deputy Product Manager Acquisition),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-01-05,2024-01-09,139395.0,191900.0,Full-time,N,Y
768848800,MCAD247921223748,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2024-01-05,2024-01-11,128252.0,183500.0,Full-time,N,Y
768478000,ST-12261872-24-DWG,ATC Data Management and DASR Product Lead,"Commander, Naval Information Warfare Systems Command (NAVWARSYSCOM)",Department of the Navy,"0854, 0855",5,5,2024-01-03,2024-01-09,122198.0,186854.0,Full-time,N,N
766984800,ST-12241727-24-AJW,ATC Data Management and DASR Product Lead,"Commander, Naval Information Warfare Systems Command (NAVWARSYSCOM)",Department of the Navy,"0854, 0855",5,5,2023-12-19,2023-12-29,121863.0,172500.0,Full-time,N,N
763054300,ST-12223748-24-CB,INTERDISCIPLINARY DATA SCIENTIST/OPERATIONS RESEARCH ANALYST (CHIEF PRODUCT OWNER),Naval Air Systems Command,Department of the Navy,"1560, 1515",5,5,2023-12-05,2023-12-11,132368.0,183500.0,Full-time,N,N
762715700,101-EDU-12217569-24-KB,Management and Program Analyst (Product Owner's Requirement),Veterans Benefits Administration,Department of Veterans Affairs,0343,11,13,2023-11-28,2023-12-04,59319.0,109908.0,Full-time,N,N
761999600,24-DO-69,Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,51,53,2023-11-21,2023-12-01,98458.0,183307.0,Full-time,N,N
761999900,24-DO-70-P,Product Manager,"Treasury, Departmental Offices",Department of the Treasury,0301,51,53,2023-11-21,2023-12-01,98458.0,183307.0,Full-time,N,N
760252600,NEBB237157312159HW,Health Science Product Manager,United States Army Futures Command,Department of the Army,0601,3,3,2023-11-15,2023-11-20,112015.0,172075.0,Full-time,N,N
759744900,HRM-DE-12189908-CCM,Human Resources Information Technology (HRIT) Product Manager,Customs and Border Protection,Department of Homeland Security,0201,14,14,2023-11-13,2023-11-17,132368.0,172075.0,Full-time,N,N
759774800,ST-12195841-24-STT,SUPERVISORY OPERATIONS RESEARCH ANALYST / DATA SCIENTIST (SECTION HEAD/PRODUCT OWNER),Naval Air Systems Command,Department of the Navy,"1560, 1515",4,4,2023-11-13,2023-11-20,112015.0,172075.0,Full-time,N,Y
759694400,NEAD236775281350,ASSISTANT PRODUCT MANAGER,U.S. Army Acquisition Support Center,Department of the Army,0301,3,3,2023-11-08,2023-11-22,86001.0,132945.0,Full-time,N,N
758588100,MCAD237155297136,PROGRAM MANAGER (DEPUTY PRODUCT MANAGER ACQUISITION),U.S. Army Acquisition Support Center,Department of the Army,0340,4,4,2023-11-06,2023-11-10,116393.0,164288.0,Full-time,N,Y
758907200,24-038-CL,IT SPECIALIST (MYSBA  PRODUCT OWNER),Small Business Administration,Other Agencies and Independent Organizations,2210,14,14,2023-11-06,2023-11-13,99908.0,129878.0,Full-time,N,N
759102900,MCAD236960919950,PROGRAM MANAGER (DEPUTY PRODUCT LEAD ACQUISITION),Army Tank-Automotive and Armament Command (TACOM),Department of the Army,0340,4,4,2023-11-06,2023-11-10,128252.0,183500.0,Full-time,N,Y
757180500,NEBB237157315216HW,Health Science Product Manager,United States Army Futures Command,Department of the Army,0601,3,3,2023-11-01,2023-11-06,112015.0,172075.0,Full-time,N,N
