service_type,position_location,occupation_series,occupation_name,grade_code,low_grade,high_grade,usajobs_control_number,position_title,hiring_agency,position_open_date,position_close_date,occupation_full,grade_level
Competitive,"Fort Worth, Texas",0006,Correctional Institution Administration,GS-12,12,12,845124900,Correctional Program Specialist (Discipline Hearing Officer),Department of Justice,2025-09-05 10:24:28.647,2025-09-26T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Washington, District of Columbia",0006,Correctional Institution Administration,GS-12,12,12,845462100,Correctional Program Specialist (Curriculum Developer),Department of Justice,2025-09-09 16:41:16.937,2025-09-23T23:59:59.9970,0006 - Correctional Institution Administration,GS-12
Competitive,"Washington, District of Columbia",0006,Correctional Institution Administration,GS-14,14,14,845682800,Correctional Program Specialist (Executive Assistant - CTAP Only),Department of Justice,2025-09-11 12:35:19.410,2025-09-18T23:59:59.9970,0006 - Correctional Institution Administration,GS-14
Excepted,"Brooklyn, New York",0007,Correctional Officer,CL-27,27,27,842737100,US Probation Officer (Presentence Division),Judicial Branch,2025-07-24 00:00:00.000,2025-12-24T23:59:59.9970,0007 - Correctional Officer,CL-27
Excepted,"Brooklyn, New York",0007,Correctional Officer,CL-27,27,27,842737500,US Probation Officer (Supervision Division),Judicial Branch,2025-07-24 00:00:00.000,2025-12-24T23:59:59.9970,0007 - Correctional Officer,CL-27
Excepted,"Casper, Wyoming",0007,Correctional Officer,CL-27/28,27,28,842786100,United States Probation Officer,Judicial Branch,2025-08-07 11:39:15.627,2025-11-05T23:59:59.9970,0007 - Correctional Officer,CL-27/28
Competitive,"Oklahoma City, Oklahoma",0007,Correctional Officer,GS-11,11,11,843817100,Supervisory Correctional Officer (Lieutenant),Department of Justice,2025-08-20 09:04:42.400,2025-09-11T23:59:59.9970,0007 - Correctional Officer,GS-11
Competitive,"Minersville, Pennsylvania",0007,Correctional Officer,GS-11,11,11,843894400,"Supervisory Correctional Officer, (Lieutenant)",Department of Justice,2025-08-20 15:15:56.077,2025-09-11T23:59:59.9970,0007 - Correctional Officer,GS-11
Competitive,"Fairton, New Jersey",0007,Correctional Officer,GS-12,12,12,843928900,Supervisory Correctional Officer (Captain),Department of Justice,2025-08-21 07:47:05.640,2025-09-12T23:59:59.9970,0007 - Correctional Officer,GS-12
Competitive,"Phoenix, Arizona",0007,Correctional Officer,GS-11,11,11,843933100,Supervisory Correctional Officer (Lieutenant),Department of Justice,2025-08-21 08:21:12.420,2025-09-12T23:59:59.9970,0007 - Correctional Officer,GS-11
Competitive,"Tallahassee, Florida",0007,Correctional Officer,GL-06,06,06,843945600,Correctional Officer (Senior Officer Specialist),Department of Justice,2025-08-21 09:38:26.003,2025-09-12T23:59:59.9970,0007 - Correctional Officer,GL-06
Competitive,"Guaynabo, Puerto Rico",0007,Correctional Officer,GL-08,08,08,844065700,Correctional Officer (Correctional Systems Officer),Department of Justice,2025-08-22 08:44:21.550,2025-09-15T23:59:59.9970,0007 - Correctional Officer,GL-08
Excepted,"Martinsburg, West Virginia",0007,Correctional Officer,CL-25/28,25,28,844255500,U.S. Probation Officer,Judicial Branch,2025-08-25 16:17:10.000,2025-11-25T23:59:59.9970,0007 - Correctional Officer,CL-25/28
Competitive,"Miami, Florida",0007,Correctional Officer,GS-11,11,11,844347000,"Supervisory Correctional Officer, (Lieutenant)",Department of Justice,2025-08-26 16:31:30.840,2025-09-17T23:59:59.9970,0007 - Correctional Officer,GS-11
Competitive,"Marion, Illinois",0007,Correctional Officer,GL-09,09,09,844366200,Supervisory Correctional Officer (Lieutenant),Department of Justice,2025-08-26 15:30:46.020,2025-09-17T23:59:59.9970,0007 - Correctional Officer,GL-09
Competitive,"Miami, Florida",0007,Correctional Officer,GL-09,09,09,844403200,Supervisory Correctional Officer (Lieutenant),Department of Justice,2025-08-27 08:01:37.277,2025-09-18T23:59:59.9970,0007 - Correctional Officer,GL-09
Competitive,"Milan, Michigan",0007,Correctional Officer,GL-09,09,09,844506200,Supervisory Correctional Officer (Lieutenant),Department of Justice,2025-08-27 16:37:25.527,2025-09-18T23:59:59.9970,0007 - Correctional Officer,GL-09
Competitive,"Tucson, Arizona",0007,Correctional Officer,GL-07/09,07,09,844582900,Correctional Officer (Correctional Counselor),Department of Justice,2025-08-28 12:30:46.913,2025-09-19T23:59:59.9970,0007 - Correctional Officer,GL-07/09
Competitive,"Seatac, Washington",0007,Correctional Officer,GL-07/09,07,09,844583700,Correctional Officer (Correctional Counselor),Department of Justice,2025-08-28 12:32:33.103,2025-09-19T23:59:59.9970,0007 - Correctional Officer,GL-07/09
Competitive,"Herlong Sierra Ordnance Depot, California",0007,Correctional Officer,GL-07/08,07,08,844606300,Correctional Officer (Correctional Systems Officer),Department of Justice,2025-08-28 14:13:59.037,2025-09-19T23:59:59.9970,0007 - Correctional Officer,GL-07/08
Competitive,"Federal Medical Center Carswell, Texas",0007,Correctional Officer,GS-11,11,11,844629300,"Supervisory Correctional Officer, (Lieutenant)",Department of Justice,2025-08-28 15:43:36.003,2025-09-19T23:59:59.9970,0007 - Correctional Officer,GS-11
Competitive,"Harlem, Montana",0007,Correctional Officer,GL-9,9,9,844675800,Supervisory Correctional Officer,Department of the Interior,2025-08-29 00:00:00.000,2025-09-15T23:59:59.9970,0007 - Correctional Officer,GL-9
Competitive,"Busby, Montana",0007,Correctional Officer,GL-5/8,5,8,844681500,Corrections Officer,Department of the Interior,2025-08-29 11:09:28.620,2025-09-26T23:59:59.9970,0007 - Correctional Officer,GL-5/8
Competitive,"Yankton, South Dakota",0007,Correctional Officer,GL-09,09,09,844696800,Correctional Officer (Correctional Counselor),Department of Justice,2025-08-29 13:15:05.483,2025-09-22T23:59:59.9970,0007 - Correctional Officer,GL-09
Competitive,"Herlong Sierra Ordnance Depot, California",0007,Correctional Officer,GL-11,11,11,844704900,"Supervisory Correctional Officer, (Lieutenant)",Department of Justice,2025-08-29 13:42:08.957,2025-09-22T23:59:59.9970,0007 - Correctional Officer,GL-11
Competitive,"Bastrop, Texas",0007,Correctional Officer,GL-09,09,09,844709100,Correctional Officer (Correctional Counselor),Department of Justice,2025-08-29 14:12:00.370,2025-09-15T23:59:59.9970,0007 - Correctional Officer,GL-09
Competitive,"Beaumont, Texas",0007,Correctional Officer,GL-08,08,08,844820800,Correctional Officer (Correctional Systems Officer),Department of Justice,2025-09-02 15:45:22.253,2025-09-23T23:59:59.9970,0007 - Correctional Officer,GL-08
Competitive,"Los Angeles, California",0007,Correctional Officer,GL-08,08,08,844907600,Correctional Officer (Correctional Systems Officer),Department of Justice,2025-09-03 13:04:50.587,2025-09-24T23:59:59.9970,0007 - Correctional Officer,GL-08
Competitive,"Oakdale, Louisiana",0007,Correctional Officer,GS-09/11,09,11,845019700,Supervisory Correctional Officer (Lieutenant),Department of Justice,2025-09-04 12:22:07.663,2025-09-25T23:59:59.9970,0007 - Correctional Officer,GS-09/11
Competitive,"Waseca, Minnesota",0007,Correctional Officer,GL-08,08,08,845022800,Correctional Officer (Correctional Counselor),Department of Justice,2025-09-04 12:08:58.990,2025-09-18T23:59:59.9970,0007 - Correctional Officer,GL-08
Competitive,"Sheridan, Oregon",0007,Correctional Officer,GS-11,11,11,845068400,Supervisory Correctional Officer (Lieutenant),Department of Justice,2025-09-04 15:29:54.093,2025-09-25T23:59:59.9970,0007 - Correctional Officer,GS-11
Competitive,"Oklahoma City, Oklahoma",0007,Correctional Officer,GL-08,08,08,845080000,Correctional Officer (Correctional Systems Officer),Department of Justice,2025-09-04 16:28:04.463,2025-09-25T23:59:59.9970,0007 - Correctional Officer,GL-08
Competitive,"Long Beach, California",0007,Correctional Officer,GS-12,12,12,845175100,Supervisory Correctional Officer (Captain),Department of Justice,2025-09-05 14:20:29.203,2025-09-26T23:59:59.9970,0007 - Correctional Officer,GS-12
Competitive,"Fort Yates, North Dakota",0007,Correctional Officer,GL-5/8,5,8,845435900,Corrections Officer,Department of the Interior,2025-09-09 14:40:41.233,2025-09-26T23:59:59.9970,0007 - Correctional Officer,GL-5/8
Competitive,"Florence, Colorado",0007,Correctional Officer,GL-09,09,09,845517500,Correctional Officer (Correctional Counselor),Department of Justice,2025-09-10 10:53:16.517,2025-09-24T23:59:59.9970,0007 - Correctional Officer,GL-09
Competitive,"Glenville, West Virginia",0007,Correctional Officer,GL-07/08,07,08,845641200,Correctional Officer (Correctional Systems Officer),Department of Justice,2025-09-11 09:40:12.390,2025-09-25T23:59:59.9970,0007 - Correctional Officer,GL-07/08
Competitive,"McDermitt, Nevada",0007,Correctional Officer,GL-5/8,5,8,845703800,Corrections Officer,Department of the Interior,2025-09-11 13:58:14.413,2025-09-25T23:59:59.9970,0007 - Correctional Officer,GL-5/8
Competitive,"McConnell AFB, Kansas",0017,Explosives Safety Series,GS-12,12,12,844441700,EXPLOSIVES SAFETY SPECIALIST,Department of the Air Force,2025-08-29 00:00:00.000,2025-09-12T23:59:59.9970,0017 - Explosives Safety Series,GS-12
Competitive,"Fort Thompson, South Dakota",0018,Safety and Occupational Health Management,GS-12,12,12,826204200,Safety and Occupational Health Specialist,Department of Health and Human Services,2025-07-28 00:00:00.000,2025-09-26T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-12
Competitive,"Fort Thompson, South Dakota",0018,Safety and Occupational Health Management,GS-12,12,12,826204600,Safety and Occupational Health Specialist,Department of Health and Human Services,2025-07-28 00:00:00.000,2025-09-17T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-12
Competitive,"Brockton, Massachusetts",0018,Safety and Occupational Health Management,GS-12,12,12,842617800,Lead Safety & Occupational Health Manager,Department of Veterans Affairs,2025-08-06 00:00:00.000,2025-09-26T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-12
Excepted,"Fort Pickett, Virginia",0018,Safety and Occupational Health Management,GS-11,11,11,844342900,Safety and Occupational Health Specialist (Title 32) (Indefinite),Department of the Army,2025-08-26 13:18:46.667,2025-09-25T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-11
Competitive,"Norfolk, Virginia",0018,Safety and Occupational Health Management,GS-13,13,13,844465200,Supervisor Safety and Occupational Health Specialist,Department of Homeland Security,2025-08-27 13:49:22.787,2025-09-11T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-13
Competitive,"Naval Air Station Whidbey Island, Washington",0018,Safety and Occupational Health Management,GS-9,9,9,844551600,SAFETY AND OCCUPATIONAL HEALTH SPECIALIST,Department of the Navy,2025-08-29 00:00:00.000,2025-09-15T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-9
Competitive,"Honolulu, Hawaii",0018,Safety and Occupational Health Management,GS-7/11,7,11,844704300,Safety and Health Occupational Specialist,Department of the Interior,2025-09-02 00:00:00.000,2025-09-15T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-7/11
Competitive,"Wiesbaden, Germany",0018,Safety and Occupational Health Management,GS-12,12,12,844807800,Safety and Occupational Health Specialist  (OCONUS),Department of Defense,2025-09-02 14:37:40.873,2025-09-15T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-12
Competitive,"Atsugi, Japan",0018,Safety and Occupational Health Management,GS-13,13,13,844808800,SAFETY & OCCUPATIONAL HEALTH MANAGER,Department of Defense,2025-09-02 14:42:07.790,2025-09-15T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-13
Competitive,"Carson, California",0018,Safety and Occupational Health Management,GS-12,12,12,844809500,Safety and Occupational Health Specialist,Department of Defense,2025-09-02 16:16:04.910,2025-09-15T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-12
Competitive,"Redding, California",0018,Safety and Occupational Health Management,GS-11,11,11,844833600,Safety and Occupational Health Specialist,Department of the Interior,2025-09-03 00:00:00.000,2025-09-17T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-11
Competitive,"Redding, California",0018,Safety and Occupational Health Management,GS-11,11,11,844833700,Safety and Occupational Health Specialist,Department of the Interior,2025-09-03 00:00:00.000,2025-09-17T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-11
Competitive,"Barstow, California",0018,Safety and Occupational Health Management,GS-11,11,11,844909900,Safety and Occupational Health Specialist,Department of the Interior,2025-09-03 13:16:44.357,2025-09-13T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-11
Excepted,"Little Rock AFB, Arkansas",0018,Safety and Occupational Health Management,GS-12,12,12,844927200,SAFETY AND OCCUPATIONAL HEALTH MANAGER (Title 32),Department of the Air Force,2025-09-10 09:17:04.623,2025-09-25T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-12
Competitive,"Yokosuka, Japan",0018,Safety and Occupational Health Management,GS-13,13,13,845021700,SUPERVISORY SAFETY OCCUPATIONAL HEALTH SPECIALIST,Department of the Navy,2025-09-08 00:00:00.000,2025-09-15T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-13
Excepted,"Washington, District of Columbia",0018,Safety and Occupational Health Management,CP-09/10,09,10,845111100,Safety and Occupational Health Specialist,Legislative Branch,2025-09-05 00:00:00.000,2025-09-11T23:59:59.9970,0018 - Safety and Occupational Health Management,CP-09/10
Competitive,"New Cumberland Defense Logistics Center, Pennsylvania",0018,Safety and Occupational Health Management,GS-12,12,12,845181800,Safety & Occupational Health Specialist,Department of Defense,2025-09-05 14:51:34.077,2025-09-13T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-12
Competitive,"Albuquerque, New Mexico",0018,Safety and Occupational Health Management,GS-9/11,9,11,845246100,Safety and Occupational Health Specialist,Department of the Interior,2025-09-08 10:57:46.137,2025-09-21T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-9/11
Competitive,"Hines, Illinois",0018,Safety and Occupational Health Management,GS-13,13,13,845258900,Safety & Occupational Health Manager (Temporary Promotion),Department of Veterans Affairs,2025-09-09 00:00:00.000,2025-09-12T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-13
Competitive,"Albuquerque, New Mexico",0018,Safety and Occupational Health Management,GS-9/11,9,11,845271900,Safety and Occupational Health Specialist,Department of the Interior,2025-09-08 12:59:14.113,2025-09-21T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-9/11
Competitive,"Coeur d'Alene, Idaho",0018,Safety and Occupational Health Management,GS-9,9,9,845349500,Safety & Occupational Health Specialist,Department of the Interior,2025-09-09 08:22:41.990,2025-09-24T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-9
Competitive,"March AFB, California",0018,Safety and Occupational Health Management,GS-12,12,12,845366600,SUPERVISORY SAFETY AND OCCUPATIONAL HEALTH MANAGER,Department of the Air Force,2025-09-09 11:33:02.050,2025-09-15T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-12
Excepted,"Lansing, Michigan",0018,Safety and Occupational Health Management,GS-13,13,13,845474800,TITLE 5 SAFETY AND OCCUPATIONAL HEALTH MANAGER (MI SAAO),Department of the Army,2025-09-10 00:00:00.000,2025-09-26T23:59:59.9970,0018 - Safety and Occupational Health Management,GS-13
Competitive,"Pearl Harbor, Hawaii",0020,Community Planning ,GS-13,13,13,844657200,SPVR COMMUNITY PLANNER/NATURAL RESOURCES SPEC/ENVIRONMENTAL ENGINEER/PHYSICAL SCIENTIST,Department of the Navy,2025-09-02 00:00:00.000,2025-09-15T23:59:59.9970,0020 - Community Planning ,GS-13
Competitive,"Kelly AFB, Texas",0020,Community Planning ,NH-3,3,3,844682100,INTERDISCIPLINARY (ENVIRONMENTAL) - DIRECT HIRE AUTHORITY,Department of the Air Force,2025-09-03 08:16:59.153,2025-12-19T23:59:59.9970,0020 - Community Planning ,NH-3
Competitive,"Kelly AFB, Texas",0020,Community Planning ,NH-4,4,4,844697200,"DIRECTOR, ENVIRONMENTAL DIRECTORATE - DIRECT HIRE AUTHORITY",Department of the Air Force,2025-09-11 14:25:51.777,2025-09-24T23:59:59.9970,0020 - Community Planning ,NH-4
Competitive,"Hickam AFB, Hawaii",0020,Community Planning ,NH-3,3,3,845022500,AFIMSC PROGRAM MANAGER - DIRECT HIRE AUTHORITY,Department of the Air Force,2025-09-10 00:00:00.000,2025-09-30T23:59:59.9970,0020 - Community Planning ,NH-3
Competitive,"Parris Island, South Carolina",0020,Community Planning ,GS-13,13,13,845548200,SUPERVISORY COMMUNITY PLANNER,Department of the Navy,2025-09-10 12:54:25.207,2025-09-12T23:59:59.9970,0020 - Community Planning ,GS-13
Competitive,"MacDill AFB, Florida",0020,Community Planning ,GS-13,13,13,845574000,GENERAL ENGINEER (ENVIRONMENTAL),Department of the Air Force,2025-09-10 14:54:32.090,2025-09-16T23:59:59.9970,0020 - Community Planning ,GS-13
Competitive,"Calaveras County, California",0025,Park Ranger,GS-5,5,5,838992300,Park Ranger,Department of the Interior,2025-06-17 00:00:00.000,2025-09-15T23:59:59.9970,0025 - Park Ranger,GS-5
Competitive,"Homestead, Florida",0025,Park Ranger,GS-5/7,5,7,841138600,Seasonal Park Ranger (Interpretation),Department of the Interior,2025-07-21 00:00:00.000,2025-09-26T23:59:59.9970,0025 - Park Ranger,GS-5/7
Competitive,"Fairbanks, Alaska",0025,Park Ranger,GS-11,11,11,842848300,Park Ranger (Protection),Department of the Interior,2025-08-07 00:00:00.000,2025-09-16T23:59:59.9970,0025 - Park Ranger,GS-11
Competitive,"Everglades City, Florida",0025,Park Ranger,GS-5,5,5,843226400,Seasonal Park Ranger (I),Department of the Interior,2025-08-14 00:00:00.000,2025-09-26T23:59:59.9970,0025 - Park Ranger,GS-5
Competitive,"Highlands, New Jersey",0025,Park Ranger,GS-13,13,13,844174200,Supervisory Park Ranger (P),Department of the Interior,2025-08-25 00:00:00.000,2025-09-18T23:59:59.9970,0025 - Park Ranger,GS-13
Competitive,"Van Horn, Texas",0025,Park Ranger,GS-12,12,12,844323800,Supervisory Park Ranger (Protection),Department of the Interior,2025-08-27 00:00:00.000,2025-09-25T23:59:59.9970,0025 - Park Ranger,GS-12
Competitive,"Seward, Alaska",0025,Park Ranger,GS-12,12,12,844468000,Supervisory Park Ranger (Protection),Department of the Interior,2025-08-27 00:00:00.000,2025-09-11T23:59:59.9970,0025 - Park Ranger,GS-12
Competitive,"Yellowstone National Park, Wyoming",0025,Park Ranger,GS-7,7,7,844511200,Seasonal Park Ranger (YCC Co-Director),Department of the Interior,2025-09-02 00:00:00.000,2025-09-15T23:59:59.9970,0025 - Park Ranger,GS-7
Competitive,"Conchas Dam, New Mexico",0025,Park Ranger,GS-3/5,3,5,844517300,Park Ranger,Department of the Army,2025-08-28 00:00:00.000,2025-09-11T23:59:59.9970,0025 - Park Ranger,GS-3/5
Competitive,"Conchas Dam, New Mexico",0025,Park Ranger,GS-5/9,5,9,844517400,Park Ranger,Department of the Army,2025-08-28 00:00:00.000,2025-09-11T23:59:59.9970,0025 - Park Ranger,GS-5/9
Competitive,"Yellowstone National Park, Wyoming",0025,Park Ranger,GS-5,5,5,844628200,Seasonal Park Ranger (YCC Crew Leader),Department of the Interior,2025-09-02 00:00:00.000,2025-09-15T23:59:59.9970,0025 - Park Ranger,GS-5
Competitive,"Hawaii National Park, Hawaii",0025,Park Ranger,GS-13,13,13,844735600,Supervisory Park Ranger (Protection),Department of the Interior,2025-09-02 00:00:00.000,2025-09-17T23:59:59.9970,0025 - Park Ranger,GS-13
Competitive,"New Orleans, Louisiana",0025,Park Ranger,GS-13,13,13,844805600,Supervisory Park Ranger (Protection),Department of the Interior,2025-09-02 14:28:02.847,2025-09-16T23:59:59.9970,0025 - Park Ranger,GS-13
Competitive,"Omaha, Nebraska",0025,Park Ranger,GS-12,12,12,844836400,Senior Staff Ranger,Department of the Interior,2025-09-03 00:00:00.000,2025-09-16T23:59:59.9970,0025 - Park Ranger,GS-12
Competitive,"Oneida, Tennessee",0025,Park Ranger,GS-11,11,11,844965700,Supervisory Park Ranger (Protection),Department of the Interior,2025-09-04 00:00:00.000,2025-09-17T23:59:59.9970,0025 - Park Ranger,GS-11
Excepted,"Naalehu, Hawaii",0025,Park Ranger,GS-5,5,5,845330200,Seasonal Park Ranger (I) (Contiguous to Area),Department of the Interior,2025-09-09 00:00:00.000,2025-09-15T23:59:59.9970,0025 - Park Ranger,GS-5
Competitive,"Yosemite National Park, California",0025,Park Ranger,GS-11,11,11,845332600,Park Ranger (Protection) - Master Ranger,Department of the Interior,2025-09-09 00:00:00.000,2025-09-18T23:59:59.9970,0025 - Park Ranger,GS-11
Competitive,"Springdale, Utah",0025,Park Ranger,GS-7,7,7,845420700,Temporary Park Ranger (Protection),Department of the Interior,2025-09-10 00:00:00.000,2025-09-19T23:59:59.9970,0025 - Park Ranger,GS-7
Competitive,"El Centro, California",0025,Park Ranger,GS-7,7,7,845449900,Park Ranger (OHV) Temporary Seasonal 1039,Department of the Interior,2025-09-09 15:34:26.863,2025-09-23T23:59:59.9970,0025 - Park Ranger,GS-7
Competitive,"Grand Canyon, Arizona",0025,Park Ranger,GS-12,12,12,845466200,Supervisory Park Ranger (P),Department of the Interior,2025-09-10 00:00:00.000,2025-09-26T23:59:59.9970,0025 - Park Ranger,GS-12
Competitive,"Arkadelphia, Arkansas",0025,Park Ranger,GS-5/7,5,7,845628300,Park Ranger,Department of the Army,2025-09-11 09:31:54.153,2025-09-17T23:59:59.9970,0025 - Park Ranger,GS-5/7
Competitive,"Grafenwohr, Germany",0028,Environmental Protection Specialist,GS-11,11,11,845079300,Environmental Protection Specialist,Department of Defense,2025-09-04 16:23:42.863,2025-09-12T23:59:59.9970,0028 - Environmental Protection Specialist,GS-11
Competitive,"Denver, Colorado",0028,Environmental Protection Specialist,GS-12,12,12,845223300,ENVRNMTL PROTCTN SPECLST,Department of the Treasury,2025-09-08 00:00:00.000,2025-09-26T23:59:59.9970,0028 - Environmental Protection Specialist,GS-12
Competitive,"Denver, Colorado",0028,Environmental Protection Specialist,GS-12,12,12,845223400,ENVRNMTL PROTCTN SPECLST,Department of the Treasury,2025-09-08 00:00:00.000,2025-09-26T23:59:59.9970,0028 - Environmental Protection Specialist,GS-12
Competitive,"Washington, District of Columbia",0028,Environmental Protection Specialist,GS-11/13,11,13,845417800,Environmental Protection Specialist,Department of Homeland Security,2025-09-10 00:00:00.000,2025-09-22T23:59:59.9970,0028 - Environmental Protection Specialist,GS-11/13
Competitive,"Gulfport, Mississippi",0028,Environmental Protection Specialist,GS-9,9,9,845537400,ENVIRONMENTAL PROTECTION SPECIALIST,Department of the Navy,2025-09-10 12:14:51.120,2025-09-17T23:59:59.9970,0028 - Environmental Protection Specialist,GS-9
Competitive,"Fort Campbell, Kentucky",0030,Sports Specialist,NF-3,3,3,839659600,Sports Specialist (CYS) NF-03,Department of the Army,2025-06-27 00:00:00.000,2025-09-16T23:59:59.9970,0030 - Sports Specialist,NF-3
Competitive,"Carlisle Barracks, Pennsylvania",0030,Sports Specialist,NF-2,2,2,841952300,Sports Assistant NF-02,Department of the Army,2025-07-30 12:07:43.747,2025-10-29T23:59:59.9970,0030 - Sports Specialist,NF-2
Competitive,"Fort Drum, New York",0030,Sports Specialist,NF-3,3,3,842830400,Sports Specialist (CYS) NF-03,Department of the Army,2025-08-07 00:00:00.000,2025-09-18T23:59:59.9970,0030 - Sports Specialist,NF-3
Competitive,"Fort Drum, New York",0030,Sports Specialist,NF-3,3,3,843471100,Assistant Aquatics Manager NF-03,Department of the Army,2025-08-15 00:00:00.000,2025-09-25T23:59:59.9970,0030 - Sports Specialist,NF-3
Competitive,"Greenville, Illinois",0030,Sports Specialist,GL-07/09,07,09,843812700,Sports Specialist,Department of Justice,2025-08-20 08:28:34.003,2025-09-11T23:59:59.9970,0030 - Sports Specialist,GL-07/09
Competitive,"Vicenza, Italy",0030,Sports Specialist,NF-3,3,3,844364200,Sports Specialist (CYS) NF-03,Department of the Army,2025-08-26 00:00:00.000,2025-09-11T23:59:59.9970,0030 - Sports Specialist,NF-3
Competitive,"Fort Drum, New York",0030,Sports Specialist,NF-3,3,3,844414000,Assistant Facility Manager (Fitness) NF-03,Department of the Army,2025-08-27 09:07:15.023,2025-09-25T23:59:59.9970,0030 - Sports Specialist,NF-3
