questionnaire_url,usajobs_control_number,position_title,announcement_number,hiring_agency,occupation_series,occupation_name,position_open_date,position_close_date,position_location,grade_code,position_schedule,extracted_from_file,extracted_date
https://apply.usastaffing.gov/ViewQuestionnaire/12648456,825359900,Medical Support Assistant,IHS-25-PX-12648456-ESEP/MP,Department of Health and Human Services,0679,Medical Support Assistance,2025-07-02 13:23:27.877,2025-07-30T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.973963
https://apply.usastaffing.gov/ViewQuestionnaire/12655589,826921800,SUPERVISORY AIR TRAFFIC CONTROL SPECIALIST,WY-12655589-AR-25-023,Department of the Army,2152,Air Traffic Control,2025-07-01 13:43:36.377,2025-07-08T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.974299
https://apply.usastaffing.gov/ViewQuestionnaire/12666245,828181600,Wildland Firefighter (Prevention) - Direct HIre Authority,DHA-25-12666245-CBXH-DN,Department of the Interior,0456,Wildland Fire Management,2025-07-01 09:53:19.140,2025-07-23T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.974754
https://apply.usastaffing.gov/ViewQuestionnaire/12671347,828754800,Wildland Firefighter - Direct Hire Authority,DHA-25-12671347-CBXH-DN,Department of the Interior,0456,Wildland Fire Management,2025-06-25 12:33:46.390,2025-07-10T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.975251
https://apply.usastaffing.gov/ViewQuestionnaire/12675476,829097200,SURFACE MAINTENANCE MECHANIC,CO-12675476-AR-25-044,Department of the Army,5801,Miscellaneous Transportation/Mobile Equipment Maintenance,2025-06-26 10:47:08.913,2025-07-26T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.975598
https://apply.usastaffing.gov/ViewQuestionnaire/12678772,829489600,Recreation Assistant-Lifeguard,FFR25-0108D,Department of the Navy,0189,Recreation Aid And Assistant,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.975783
https://apply.usastaffing.gov/ViewQuestionnaire/12676252,829595400,Medical Support Assistant,IHS-25-PX-12676252-DE,Department of Health and Human Services,0679,Medical Support Assistance,2025-07-02 13:24:30.683,2025-07-30T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.976138
https://apply.usastaffing.gov/ViewQuestionnaire/12673307,829639200,Recreation Aid (Community Recreation),FFR25-0062,Department of the Navy,0189,Recreation Aid And Assistant,2025-06-09 19:06:49.550,2025-12-31T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.976299
https://apply.usastaffing.gov/ViewQuestionnaire/12678326,830026100,FOOD SERVICE WORKER,25-12678326,Department of the Navy,7408,Food Service Working,2025-06-24 10:22:48.300,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.976691
https://apply.usastaffing.gov/ViewQuestionnaire/12682598,830032300,Heavy Mobile Equipment Repairer Leader,SDDE256420312598,Department of the Army,5803,Heavy Mobile Equipment Mechanic,2025-06-09 09:26:00.127,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.976908
https://apply.usastaffing.gov/ViewQuestionnaire/12686356,831206300,CYP Assistant,FFR25-0157,Department of the Navy,1702,Education And Training Technician,2025-06-25 00:00:00.000,2025-07-09T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.977602
https://apply.usastaffing.gov/ViewQuestionnaire/12691576,831397500,Recreation Aid,25-7NFSWB742329,Department of the Air Force,0189,Recreation Aid And Assistant,2025-06-05 10:27:01.307,2025-09-05T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.977794
https://apply.usastaffing.gov/ViewQuestionnaire/12694061,831658500,Barista NA-04,O2NAFBN-25-12694061,Department of the Army,7401,Miscellaneous Food Preparation and Serving,2025-07-02 12:55:30.273,2025-10-02T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.978075
https://apply.usastaffing.gov/ViewQuestionnaire/12698158,832187500,CHILD AND YOUTH PROGRAM ASSISTANT (ENTRY / INTERMEDIATE / TARGET LEVEL),25-4YFSYC12698158,Department of the Air Force,1702,Education And Training Technician,2025-06-26 12:05:55.983,2025-07-10T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.978298
https://apply.usastaffing.gov/ViewQuestionnaire/12703101,832871700,CYP Assistant,FFR25-0258,Department of the Navy,1702,Education And Training Technician,2025-06-25 00:00:00.000,2025-07-09T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.979011
https://apply.usastaffing.gov/ViewQuestionnaire/12710138,833688800,Transportation Security Officer,12710138 IND PT POC,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-25 00:00:00.000,2025-07-09T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.980212
https://apply.usastaffing.gov/ViewQuestionnaire/12712975,833802900,Transportation Security Officer,12712975 COU-PT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-24 15:04:35.370,2025-07-24T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.980581
https://apply.usastaffing.gov/ViewQuestionnaire/12712990,833805200,Transportation Security Officer,12712990 IRK-PT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-17 11:34:31.157,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.980928
https://apply.usastaffing.gov/ViewQuestionnaire/12716497,834052900,Nursing Assistant-Transitional Care and CIIRP,ML-12716497-25-AM,Department of Veterans Affairs,0621,Nursing Assistant,2025-06-30 11:32:43.003,2025-07-21T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.981192
https://apply.usastaffing.gov/ViewQuestionnaire/12708399,834318700,CYP Assistant,FFR25-0280A,Department of the Navy,1702,Education And Training Technician,2025-07-01 00:00:00.000,2025-07-15T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.981624
https://apply.usastaffing.gov/ViewQuestionnaire/12719511,834516800,Transportation Security Officer,12719511 LEB FT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-07-01 10:29:30.090,2025-08-01T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.982283
https://apply.usastaffing.gov/ViewQuestionnaire/12708332,834635600,Law Enforcement Officer,ST-25-12708332-CAWV-SM,Department of the Interior,1801,"General Inspection, Investigation, Enforcement, And Compliance Series",2025-06-25 12:29:54.323,2025-07-15T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.983066
https://apply.usastaffing.gov/ViewQuestionnaire/12721506,834820800,Aquatics Coordinator - NAS Pensacola,PEN 25-12721506,Department of the Navy,0188,Recreation Specialist,2025-07-02 08:42:29.350,2025-07-16T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.983338
https://apply.usastaffing.gov/ViewQuestionnaire/12689175,834831200,Dispatcher (Public Safety),ST-25-12689175-CAWV-SM,Department of the Interior,2151,Dispatching,2025-06-24 12:23:44.723,2025-07-09T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.983599
https://apply.usastaffing.gov/ViewQuestionnaire/12703947,834945000,TRAINING TECHNICIAN (Title 32),TX-12703947-AF,Department of the Air Force,1702,Education And Training Technician,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.983825
https://apply.usastaffing.gov/ViewQuestionnaire/12722543,834994100,Recreation Aid - Bowling Front Desk/Snack Bar Operator,PEN 25-12722543,Department of the Navy,0189,Recreation Aid And Assistant,2025-07-03 00:00:00.000,2025-07-17T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.984070
https://apply.usastaffing.gov/ViewQuestionnaire/12712992,835014000,Psychiatric Technician,IHS-25-CA-12712992-ESEP/MP,Department of Health and Human Services,0640,Health Aid And Technician,2025-06-27 15:47:33.323,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.984329
https://apply.usastaffing.gov/ViewQuestionnaire/12712991,835016800,Psychiatric Technician,IHS-25-CA-12712991-DE,Department of Health and Human Services,0640,Health Aid And Technician,2025-06-27 15:55:30.790,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.984579
https://apply.usastaffing.gov/ViewQuestionnaire/12706649,835088500,AIRCRAFT ELECTRICIAN,CO-12706649-AF-25-057,Department of the Air Force,2892,Aircraft Electrician,2025-06-18 09:36:36.577,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.984964
https://apply.usastaffing.gov/ViewQuestionnaire/12723308,835182300,Recreation Assistant (Lifeguard),FFR25-0403,Department of the Navy,0189,Recreation Aid And Assistant,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.985144
https://apply.usastaffing.gov/ViewQuestionnaire/12723316,835184200,Catering Manager,FFR25-0387A,Department of the Navy,1101,General Business And Industry,2025-06-18 00:00:00.000,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.985321
https://apply.usastaffing.gov/ViewQuestionnaire/12722931,835260400,Licensed Practical Nurse-Spinal Cord Injury (SCI),ML-12722931-25-AM,Department of Veterans Affairs,0620,Practical Nurse,2025-06-30 11:42:53.497,2025-07-21T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.985586
https://apply.usastaffing.gov/ViewQuestionnaire/12724354,835293300,Registered Nurse (RN) - Inpatient/4C (FTE 0.9),CAZP-12724354-25-RM,Department of Veterans Affairs,0610,Nurse,2025-07-01 13:04:28.730,2025-07-14T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.986101
https://apply.usastaffing.gov/ViewQuestionnaire/12724599,835327400,Recreation Aid (Liberty),FFR25-0344,Department of the Navy,0189,Recreation Aid And Assistant,2025-06-16 00:00:00.000,2025-07-14T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.986253
https://apply.usastaffing.gov/ViewQuestionnaire/12705187,835327600,Recreation Assistant (Fitness) Flex,FFR25-0274,Department of the Navy,0189,Recreation Aid And Assistant,2025-06-19 00:00:00.000,2025-07-31T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.986438
https://apply.usastaffing.gov/ViewQuestionnaire/12707043,835327700,Recreation Assistant (Fitness),FFR25-0275,Department of the Navy,0189,Recreation Aid And Assistant,2025-06-19 00:00:00.000,2025-07-31T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.986620
https://apply.usastaffing.gov/ViewQuestionnaire/12726719,835348200,Transportation Security Officer,12726719 PIR-PT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-12 10:48:32.583,2025-08-13T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.986985
https://apply.usastaffing.gov/ViewQuestionnaire/12724398,835514500,Registered Nurse (RN) - Emergency Department (Days/FT),CAZP-12724398-25-LFC,Department of Veterans Affairs,0610,Nurse,2025-06-27 17:09:03.563,2025-07-08T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.987472
https://apply.usastaffing.gov/ViewQuestionnaire/12724123,835546100,Recreation Aid (Community Recreation),FFR25-0288,Department of the Navy,0189,Recreation Aid And Assistant,2025-06-03 00:00:00.000,2025-12-31T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.987637
https://apply.usastaffing.gov/ViewQuestionnaire/12727911,835546400,Visual Information Specialist (Graphic Designer),25-7NFSK815202,Department of the Air Force,1101,General Business And Industry,2025-06-11 00:00:00.000,2025-07-25T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.987840
https://apply.usastaffing.gov/ViewQuestionnaire/12728450,835631800,CUSTODIAL WORKER SUPERVISOR (HOUSEKEEPING),25-5NFSV817078,Department of the Air Force,3566,Custodial Working,2025-06-27 11:01:23.207,2025-07-20T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.988025
https://apply.usastaffing.gov/ViewQuestionnaire/12728771,835676000,CUSTODIAL WORKER JANITOR,25-5VFSVL00816269,Department of the Air Force,3566,Custodial Working,2025-06-26 13:54:44.113,2025-07-06T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.988210
https://apply.usastaffing.gov/ViewQuestionnaire/12728502,835709200,CHILD CENTER PROGRAM ASSISTANT (Multilevel) 500 Recruitment Bonus - DIX,25-5NFSY817263,Department of the Air Force,1702,Education And Training Technician,2025-06-11 00:00:00.000,2025-07-20T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.988413
https://apply.usastaffing.gov/ViewQuestionnaire/12730490,835981200,BARTENDER,25APR5YREDDINB818139,Department of the Air Force,7405,Bartending,2025-06-23 16:15:19.447,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.988595
https://apply.usastaffing.gov/ViewQuestionnaire/12730441,836043100,Food Service Worker (Cashier),25-4YFSWC12730441,Department of the Air Force,7408,Food Service Working,2025-06-27 11:41:13.007,2025-07-11T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.988796
https://apply.usastaffing.gov/ViewQuestionnaire/12730464,836044100,Cook,25-4YFSWC12730464,Department of the Air Force,7404,Cooking,2025-06-27 11:23:04.373,2025-07-11T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.988994
https://apply.usastaffing.gov/ViewQuestionnaire/12730506,836044800,Bartender,25-4YFSWC12730506,Department of the Air Force,7405,Bartending,2025-06-27 11:35:35.920,2025-07-11T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.989230
https://apply.usastaffing.gov/ViewQuestionnaire/12728852,836068500,Clinical Nurse Manager Outpatient Mental Health,CBSW-12728852-25-GC,Department of Veterans Affairs,0610,Nurse,2025-06-03 00:00:00.000,2025-07-16T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.989496
https://apply.usastaffing.gov/ViewQuestionnaire/12727904,836076700,CYP ASSISTANT,FFR25-0438,Department of the Navy,1702,Education And Training Technician,2025-06-03 00:00:00.000,2025-12-31T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.989728
https://apply.usastaffing.gov/ViewQuestionnaire/12732225,836290700,Cook Leader,25-4YFSWC12732225,Department of the Air Force,7404,Cooking,2025-06-24 13:48:14.577,2025-07-08T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.989934
https://apply.usastaffing.gov/ViewQuestionnaire/12731446,836626600,Recreation Assistant (Outdoor Recreation),FFR25-0461,Department of the Navy,0189,Recreation Aid And Assistant,2025-06-23 00:00:00.000,2025-07-31T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.990135
https://apply.usastaffing.gov/ViewQuestionnaire/12734769,836720400,Recreation Assistant - Information Tickets and Travel,PEN 25-12734769,Department of the Navy,0189,Recreation Aid And Assistant,2025-07-02 00:00:00.000,2025-07-16T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.990369
https://apply.usastaffing.gov/ViewQuestionnaire/12736106,837130400,Cook,FFR25-0474,Department of the Navy,7404,Cooking,2025-06-19 00:00:00.000,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.990895
https://apply.usastaffing.gov/ViewQuestionnaire/12737616,837224700,Dietitian (Clinical),CBTF-12737616-25-JLD,Department of Veterans Affairs,0630,Dietitian And Nutritionist,2025-06-23 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.991184
https://apply.usastaffing.gov/ViewQuestionnaire/12728116,837377900,Logistics Management Specialist,SDDE257861838116R5,Department of the Army,0346,Logistics Management,2025-06-13 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.991571
https://apply.usastaffing.gov/ViewQuestionnaire/12740766,837430800,Wildland Firefighter - Direct Hire Authority,DHA-25-12740766-CBXH-DN,Department of the Interior,0456,Wildland Fire Management,2025-06-24 17:16:48.493,2025-07-09T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.991824
https://apply.usastaffing.gov/ViewQuestionnaire/12740842,837434100,Wildland Firefighter - Direct Hire Authority,DHA-25-12740842-CBXH-DN,Department of the Interior,0456,Wildland Fire Management,2025-07-03 15:02:19.157,2025-07-18T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.992090
https://apply.usastaffing.gov/ViewQuestionnaire/12736396,837460800,Information Technology Specialist (Systems Administration),25-DPS-12736396,Judicial Branch,2210,Information Technology Management,2025-07-03 00:00:00.000,2025-07-17T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.992279
https://apply.usastaffing.gov/ViewQuestionnaire/12740905,837462900,Housekeeping/Custodial Worker,25-5VFSWOF817029,Department of the Air Force,3566,Custodial Working,2025-06-30 13:34:34.820,2025-07-13T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.992473
https://apply.usastaffing.gov/ViewQuestionnaire/12721618,837607200,Professor of Department of Defense Systems,BRFAWC250003,Department of the Army,0101,Social Science,2025-06-02 00:00:00.000,2025-07-31T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.993165
https://apply.usastaffing.gov/ViewQuestionnaire/12742765,837718400,Transportation Security Officer,12742765 BOI FT PT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-11 00:00:00.000,2025-07-11T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.993502
https://apply.usastaffing.gov/ViewQuestionnaire/12735515,837721500,Clinical Psychologist-ESEP/MP,IHS-25-NN-12735515-ESEP/MP,Department of Health and Human Services,0180,Psychology,2025-06-23 15:32:27.090,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.993781
https://apply.usastaffing.gov/ViewQuestionnaire/12735516,837721900,Clinical Psychologist - DE,IHS-25-NN-12735516-DE,Department of Health and Human Services,0180,Psychology,2025-06-23 15:31:55.403,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.994053
https://apply.usastaffing.gov/ViewQuestionnaire/12743051,837759100,Contingency Quarters Assistant Lodging General Manager (PSAB),25-5WFSR942731,Department of the Air Force,1173,Housing Management,2025-06-26 13:38:32.513,2025-07-10T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.994254
https://apply.usastaffing.gov/ViewQuestionnaire/12742762,837767500,Seasonal Engineering Equipment Operator,PW-1548-SR-25-12742762-DE,Department of the Interior,5716,Engineering Equipment Operating,2025-06-26 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.994525
https://apply.usastaffing.gov/ViewQuestionnaire/12742609,837799300,Realty Specialist,IHS-25-BI-12742609-ESEP/MP,Department of Health and Human Services,1170,Realty,2025-06-24 15:48:54.620,2025-07-08T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.994784
https://apply.usastaffing.gov/ViewQuestionnaire/12741733,837808100,Staff Psychologist - Behavioral Health Interdisciplinary Programs,CBSS-12741733-25-LH,Department of Veterans Affairs,0180,Psychology,2025-06-27 09:52:56.180,2025-07-05T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.995338
https://apply.usastaffing.gov/ViewQuestionnaire/12742014,837839100,CYP Assistant,FFR25-0535,Department of the Navy,1702,Education And Training Technician,2025-06-25 00:00:00.000,2025-07-09T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.995866
https://apply.usastaffing.gov/ViewQuestionnaire/12743739,837882500,Licensed Practical Nurse-Community based Outpatient Clinic (CBOC),CBSV-12743739-25-JM,Department of Veterans Affairs,0620,Practical Nurse,2025-06-09 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.996263
https://apply.usastaffing.gov/ViewQuestionnaire/12743740,837883000,Licensed Practical Nurse-Community based Outpatient Clinic (CBOC),CBSV-12743740-25-JM,Department of Veterans Affairs,0620,Practical Nurse,2025-06-09 00:00:00.000,2025-07-07T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.996610
https://apply.usastaffing.gov/ViewQuestionnaire/12743762,837883800,Diagnostic Radiologic Technologist (CT),HSJT253094903762R,Department of Defense,0647,Diagnostic Radiologic Technologist,2025-06-02 00:00:00.000,2025-10-02T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.996883
https://apply.usastaffing.gov/ViewQuestionnaire/12743048,837923000,Cook (Chili's Bar and Grill),25-9NFSB857250SR,Department of the Air Force,7404,Cooking,2025-06-02 00:00:00.000,2025-08-29T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.997101
https://apply.usastaffing.gov/ViewQuestionnaire/12744114,837930000,Transportation Security Officer,12744114-OKC-FT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-02 00:00:00.000,2025-07-16T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.997686
https://apply.usastaffing.gov/ViewQuestionnaire/12742400,837930400,Investigative Analyst (Criminal Analyst),HSI-12742400-DHA-JG,Department of Homeland Security,1805,Investigative Analysis,2025-06-02 00:00:00.000,2025-08-31T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.998075
https://apply.usastaffing.gov/ViewQuestionnaire/12735959,837932400,PROGRAM ANALYST (Title 32),OK-12735959-AR-25-049,Department of the Army,0343,Management And Program Analysis,2025-06-03 00:00:00.000,2025-07-10T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.998515
https://apply.usastaffing.gov/ViewQuestionnaire/12743511,837934000,Lead Child and Youth Program Assistant (Level 5) CY-02,C2SCNAFCY-25-12743511,Department of the Army,1702,Education And Training Technician,2025-06-02 09:33:51.243,2025-07-08T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.998749
https://apply.usastaffing.gov/ViewQuestionnaire/12744134,837937000,AIRCRAFT ENGINE MECHANIC (TITLE 32),IL-12744134-AF-25-021,Department of the Air Force,8602,Aircraft Engine Mechanic,2025-06-06 00:00:00.000,2026-06-05T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.998951
https://apply.usastaffing.gov/ViewQuestionnaire/12743553,837939500,Staff Psychologist (BHIP),CBSX-12743553-25-JAR,Department of Veterans Affairs,0180,Psychology,2025-06-02 10:24:07.790,2025-09-02T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.999665
https://apply.usastaffing.gov/ViewQuestionnaire/12743377,837939700,Staff Psychologist (BHIP),CBSX-12743377-25-JAR,Department of Veterans Affairs,0180,Psychology,2025-06-02 00:00:00.000,2025-09-02T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:37.999943
https://apply.usastaffing.gov/ViewQuestionnaire/12744189,837939800,Transportation Security Officer,12744189 CVG PT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-02 00:00:00.000,2025-07-25T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:38.000277
https://apply.usastaffing.gov/ViewQuestionnaire/12744195,837940600,Transportation Security Officer,12744195-SDF-PT,Department of Homeland Security,1802,Compliance Inspection And Support,2025-06-02 00:00:00.000,2025-08-04T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:38.000604
https://apply.usastaffing.gov/ViewQuestionnaire/12744182,837940800,Military Personnel and Administrative Specialist,NCDE256473374182R3,Department of the Army,0301,Miscellaneous Administration And Program,2025-06-03 00:00:00.000,2025-08-05T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:38.000828
https://apply.usastaffing.gov/ViewQuestionnaire/12743941,837941900,Dental Assistant,CBSU-12743941-25-BR,Department of Veterans Affairs,0681,Dental Assistant,2025-06-02 10:37:30.927,2025-08-29T23:59:59.9970,,,,current_jobs_2025.parquet,2025-07-25T20:43:38.001097
